"","id","title","year","age","rotten_tomatoes","service","yes_no","rotten_tomatoes_cat"
"1",1,"The Irishman",2019,"18+",98,"Netflix",1,"90-100"
"2",1,"The Irishman",2019,"18+",98,"Hulu",0,"90-100"
"3",1,"The Irishman",2019,"18+",98,"Prime Video",0,"90-100"
"4",1,"The Irishman",2019,"18+",98,"Disney+",0,"90-100"
"5",2,"Dangal",2016,"7+",97,"Netflix",1,"90-100"
"6",2,"Dangal",2016,"7+",97,"Hulu",0,"90-100"
"7",2,"Dangal",2016,"7+",97,"Prime Video",0,"90-100"
"8",2,"Dangal",2016,"7+",97,"Disney+",0,"90-100"
"9",3,"David Attenborough: A Life on Our Planet",2020,"7+",95,"Netflix",1,"90-100"
"10",3,"David Attenborough: A Life on Our Planet",2020,"7+",95,"Hulu",0,"90-100"
"11",3,"David Attenborough: A Life on Our Planet",2020,"7+",95,"Prime Video",0,"90-100"
"12",3,"David Attenborough: A Life on Our Planet",2020,"7+",95,"Disney+",0,"90-100"
"13",4,"Lagaan: Once Upon a Time in India",2001,"7+",94,"Netflix",1,"90-100"
"14",4,"Lagaan: Once Upon a Time in India",2001,"7+",94,"Hulu",0,"90-100"
"15",4,"Lagaan: Once Upon a Time in India",2001,"7+",94,"Prime Video",0,"90-100"
"16",4,"Lagaan: Once Upon a Time in India",2001,"7+",94,"Disney+",0,"90-100"
"17",5,"Roma",2018,"18+",94,"Netflix",1,"90-100"
"18",5,"Roma",2018,"18+",94,"Hulu",0,"90-100"
"19",5,"Roma",2018,"18+",94,"Prime Video",0,"90-100"
"20",5,"Roma",2018,"18+",94,"Disney+",0,"90-100"
"21",6,"To All the Boys I've Loved Before",2018,"13+",94,"Netflix",1,"90-100"
"22",6,"To All the Boys I've Loved Before",2018,"13+",94,"Hulu",0,"90-100"
"23",6,"To All the Boys I've Loved Before",2018,"13+",94,"Prime Video",0,"90-100"
"24",6,"To All the Boys I've Loved Before",2018,"13+",94,"Disney+",0,"90-100"
"25",7,"The Social Dilemma",2020,"13+",93,"Netflix",1,"90-100"
"26",7,"The Social Dilemma",2020,"13+",93,"Hulu",0,"90-100"
"27",7,"The Social Dilemma",2020,"13+",93,"Prime Video",0,"90-100"
"28",7,"The Social Dilemma",2020,"13+",93,"Disney+",0,"90-100"
"29",8,"Okja",2017,"13+",92,"Netflix",1,"90-100"
"30",8,"Okja",2017,"13+",92,"Hulu",0,"90-100"
"31",8,"Okja",2017,"13+",92,"Prime Video",0,"90-100"
"32",8,"Okja",2017,"13+",92,"Disney+",0,"90-100"
"33",9,"The Ballad of Buster Scruggs",2018,"16+",92,"Netflix",1,"90-100"
"34",9,"The Ballad of Buster Scruggs",2018,"16+",92,"Hulu",0,"90-100"
"35",9,"The Ballad of Buster Scruggs",2018,"16+",92,"Prime Video",0,"90-100"
"36",9,"The Ballad of Buster Scruggs",2018,"16+",92,"Disney+",0,"90-100"
"37",10,"The Trial of the Chicago 7",2020,"18+",92,"Netflix",1,"90-100"
"38",10,"The Trial of the Chicago 7",2020,"18+",92,"Hulu",0,"90-100"
"39",10,"The Trial of the Chicago 7",2020,"18+",92,"Prime Video",0,"90-100"
"40",10,"The Trial of the Chicago 7",2020,"18+",92,"Disney+",0,"90-100"
"41",11,"Article 15",2019,"18+",92,"Netflix",1,"90-100"
"42",11,"Article 15",2019,"18+",92,"Hulu",0,"90-100"
"43",11,"Article 15",2019,"18+",92,"Prime Video",0,"90-100"
"44",11,"Article 15",2019,"18+",92,"Disney+",0,"90-100"
"45",12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,"18+",92,"Netflix",1,"90-100"
"46",12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,"18+",92,"Hulu",0,"90-100"
"47",12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,"18+",92,"Prime Video",0,"90-100"
"48",12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,"18+",92,"Disney+",0,"90-100"
"49",13,"Dolemite Is My Name",2019,"18+",92,"Netflix",1,"90-100"
"50",13,"Dolemite Is My Name",2019,"18+",92,"Hulu",0,"90-100"
"51",13,"Dolemite Is My Name",2019,"18+",92,"Prime Video",0,"90-100"
"52",13,"Dolemite Is My Name",2019,"18+",92,"Disney+",0,"90-100"
"53",14,"Mudbound",2017,"18+",91,"Netflix",1,"90-100"
"54",14,"Mudbound",2017,"18+",91,"Hulu",0,"90-100"
"55",14,"Mudbound",2017,"18+",91,"Prime Video",0,"90-100"
"56",14,"Mudbound",2017,"18+",91,"Disney+",0,"90-100"
"57",15,"Swades",2004,"all",91,"Netflix",1,"90-100"
"58",15,"Swades",2004,"all",91,"Hulu",0,"90-100"
"59",15,"Swades",2004,"all",91,"Prime Video",0,"90-100"
"60",15,"Swades",2004,"all",91,"Disney+",0,"90-100"
"61",16,"Fyre",2019,"18+",91,"Netflix",1,"90-100"
"62",16,"Fyre",2019,"18+",91,"Hulu",0,"90-100"
"63",16,"Fyre",2019,"18+",91,"Prime Video",0,"90-100"
"64",16,"Fyre",2019,"18+",91,"Disney+",0,"90-100"
"65",17,"Miss Americana",2020,"18+",90,"Netflix",1,"90-100"
"66",17,"Miss Americana",2020,"18+",90,"Hulu",0,"90-100"
"67",17,"Miss Americana",2020,"18+",90,"Prime Video",0,"90-100"
"68",17,"Miss Americana",2020,"18+",90,"Disney+",0,"90-100"
"69",18,"Virunga",2014,"16+",90,"Netflix",1,"90-100"
"70",18,"Virunga",2014,"16+",90,"Hulu",0,"90-100"
"71",18,"Virunga",2014,"16+",90,"Prime Video",0,"90-100"
"72",18,"Virunga",2014,"16+",90,"Disney+",0,"90-100"
"73",19,"Black Friday",2004,"18+",90,"Netflix",1,"90-100"
"74",19,"Black Friday",2004,"18+",90,"Hulu",0,"90-100"
"75",19,"Black Friday",2004,"18+",90,"Prime Video",0,"90-100"
"76",19,"Black Friday",2004,"18+",90,"Disney+",0,"90-100"
"77",20,"Talvar",2015,"7+",90,"Netflix",1,"90-100"
"78",20,"Talvar",2015,"7+",90,"Hulu",0,"90-100"
"79",20,"Talvar",2015,"7+",90,"Prime Video",0,"90-100"
"80",20,"Talvar",2015,"7+",90,"Disney+",0,"90-100"
"81",21,"The King",2019,"18+",90,"Netflix",1,"90-100"
"82",21,"The King",2019,"18+",90,"Hulu",0,"90-100"
"83",21,"The King",2019,"18+",90,"Prime Video",0,"90-100"
"84",21,"The King",2019,"18+",90,"Disney+",0,"90-100"
"85",22,"John Mulaney: Kid Gorgeous at Radio City",2018,"18+",89,"Netflix",1,"80-90"
"86",22,"John Mulaney: Kid Gorgeous at Radio City",2018,"18+",89,"Hulu",0,"80-90"
"87",22,"John Mulaney: Kid Gorgeous at Radio City",2018,"18+",89,"Prime Video",0,"80-90"
"88",22,"John Mulaney: Kid Gorgeous at Radio City",2018,"18+",89,"Disney+",0,"80-90"
"89",23,"I Am Mother",2019,"13+",89,"Netflix",1,"80-90"
"90",23,"I Am Mother",2019,"13+",89,"Hulu",0,"80-90"
"91",23,"I Am Mother",2019,"13+",89,"Prime Video",0,"80-90"
"92",23,"I Am Mother",2019,"13+",89,"Disney+",0,"80-90"
"93",24,"Tell Me Who I Am",2019,"18+",89,"Netflix",1,"80-90"
"94",24,"Tell Me Who I Am",2019,"18+",89,"Hulu",0,"80-90"
"95",24,"Tell Me Who I Am",2019,"18+",89,"Prime Video",0,"80-90"
"96",24,"Tell Me Who I Am",2019,"18+",89,"Disney+",0,"80-90"
"97",25,"The Departed",2006,"18+",89,"Netflix",1,"80-90"
"98",25,"The Departed",2006,"18+",89,"Hulu",0,"80-90"
"99",25,"The Departed",2006,"18+",89,"Prime Video",0,"80-90"
"100",25,"The Departed",2006,"18+",89,"Disney+",0,"80-90"
"101",26,"Winter on Fire: Ukraine's Fight for Freedom",2015,"16+",89,"Netflix",1,"80-90"
"102",26,"Winter on Fire: Ukraine's Fight for Freedom",2015,"16+",89,"Hulu",0,"80-90"
"103",26,"Winter on Fire: Ukraine's Fight for Freedom",2015,"16+",89,"Prime Video",0,"80-90"
"104",26,"Winter on Fire: Ukraine's Fight for Freedom",2015,"16+",89,"Disney+",0,"80-90"
"105",27,"Terminator 2: Judgment Day",1991,"18+",89,"Netflix",1,"80-90"
"106",27,"Terminator 2: Judgment Day",1991,"18+",89,"Hulu",0,"80-90"
"107",27,"Terminator 2: Judgment Day",1991,"18+",89,"Prime Video",0,"80-90"
"108",27,"Terminator 2: Judgment Day",1991,"18+",89,"Disney+",0,"80-90"
"109",28,"I Lost My Body",2019,"18+",89,"Netflix",1,"80-90"
"110",28,"I Lost My Body",2019,"18+",89,"Hulu",0,"80-90"
"111",28,"I Lost My Body",2019,"18+",89,"Prime Video",0,"80-90"
"112",28,"I Lost My Body",2019,"18+",89,"Disney+",0,"80-90"
"113",29,"Django Unchained",2012,"18+",89,"Netflix",1,"80-90"
"114",29,"Django Unchained",2012,"18+",89,"Hulu",0,"80-90"
"115",29,"Django Unchained",2012,"18+",89,"Prime Video",0,"80-90"
"116",29,"Django Unchained",2012,"18+",89,"Disney+",0,"80-90"
"117",30,"The Half of It",2020,"13+",89,"Netflix",1,"80-90"
"118",30,"The Half of It",2020,"13+",89,"Hulu",0,"80-90"
"119",30,"The Half of It",2020,"13+",89,"Prime Video",0,"80-90"
"120",30,"The Half of It",2020,"13+",89,"Disney+",0,"80-90"
"121",31,"The Boy Who Harnessed the Wind",2019,"7+",89,"Netflix",1,"80-90"
"122",31,"The Boy Who Harnessed the Wind",2019,"7+",89,"Hulu",0,"80-90"
"123",31,"The Boy Who Harnessed the Wind",2019,"7+",89,"Prime Video",0,"80-90"
"124",31,"The Boy Who Harnessed the Wind",2019,"7+",89,"Disney+",0,"80-90"
"125",32,"The Devil All the Time",2020,"18+",89,"Netflix",1,"80-90"
"126",32,"The Devil All the Time",2020,"18+",89,"Hulu",0,"80-90"
"127",32,"The Devil All the Time",2020,"18+",89,"Prime Video",0,"80-90"
"128",32,"The Devil All the Time",2020,"18+",89,"Disney+",0,"80-90"
"129",33,"The Fundamentals of Caring",2016,"18+",89,"Netflix",1,"80-90"
"130",33,"The Fundamentals of Caring",2016,"18+",89,"Hulu",0,"80-90"
"131",33,"The Fundamentals of Caring",2016,"18+",89,"Prime Video",0,"80-90"
"132",33,"The Fundamentals of Caring",2016,"18+",89,"Disney+",0,"80-90"
